captured_at,captured_at_epoch,contract,dte,future,iv_pct,5DP,15DP,25DP,35DP,45DP,45DC,35DC,25DC,15DC,5DC
2026-08-22T01:03:07.298452+07:00,1787335387.298,G4MQ6,2.98,4641.9,17.46,4520.1002,4569.616,4596.4462,4615.283,4633.6258,4653.2889,4673.5397,4695.8662,4730.3761,4803.824
2026-08-22T01:09:22.073429+07:00,1787335762.073,G4MQ6,2.97,4643.9,17.56,4523.9671,4571.9829,4598.3799,4617.213,4635.6198,4655.3471,4675.775,4698.4392,4733.0526,4805.0247
2026-08-22T01:14:19.596616+07:00,1787336059.597,G4MQ6,2.97,4648.2,17.66,4525.3434,4574.3438,4601.0764,4620.0183,4638.5157,4658.3503,4678.8564,4701.5872,4736.5317,4809.8818
2026-08-22T01:20:02.939352+07:00,1787336402.939,G4MQ6,2.97,4650.3,17.44,4524.2979,4573.6053,4600.4786,4619.3398,4637.6974,4657.4127,4677.746,4700.1818,4735.033,4809.8261
2026-08-22T01:26:12.762841+07:00,1787336772.763,G4MQ6,2.96,4647.4,17.55,4525.0405,4574.6999,4601.537,4620.3488,4638.7279,4658.505,4678.9114,4701.4627,4736.5634,4811.8322
2026-08-22T01:32:30.193527+07:00,1787337150.194,G4MQ6,2.96,4649.0,17.5,4525.9031,4575.6838,4602.5988,4621.4297,4639.7889,4659.5264,4679.8766,4702.3439,4737.3294,4812.4963
2026-08-22T01:37:26.885778+07:00,1787337446.886,G4MQ6,2.95,4649.6,17.47,4526.4611,4576.0136,4602.8012,4621.5611,4639.8666,4659.5516,4679.8577,4702.3028,4737.271,4812.3249
2026-08-22T01:43:27.275509+07:00,1787337807.276,G4MQ6,2.95,4644.6,17.31,4521.5075,4572.3806,4599.3575,4618.0194,4636.2158,4655.7644,4675.8102,4697.8436,4732.3779,4807.2858
2026-08-22T01:49:05.025712+07:00,1787338145.026,G4MQ6,2.95,4644.2,17.27,4521.5585,4571.5771,4598.1465,4616.5706,4634.6118,4654.0758,4674.1117,4696.228,4731.0249,4806.6427
2026-08-22T01:54:13.633945+07:00,1787338453.634,G4MQ6,2.94,4643.5,17.23,4523.2591,4573.3775,4599.924,4618.3289,4636.3662,4655.8231,4675.8402,4697.922,4732.6176,4807.8721
2026-08-22T01:59:25.508783+07:00,1787338765.509,G4MQ6,2.94,4646.8,17.34,4524.2634,4573.6441,4600.0782,4618.5041,4636.5824,4656.1336,4676.3569,4698.8287,4734.2828,4811.1706
2026-08-22T02:04:22.313507+07:00,1787339062.314,G4MQ6,2.93,4647.0,17.27,4524.1642,4574.036,4600.6058,4619.0114,4637.0428,4656.5441,4676.6581,4698.9128,4734.1501,4811.2967
2026-08-22T02:10:08.687194+07:00,1787339408.687,G4MQ6,2.93,4645.7,17.28,4524.0918,4573.0746,4599.2771,4617.5312,4635.4754,4654.9219,4675.0394,4697.3496,4732.5384,4809.0816
2026-08-22T02:14:35.818391+07:00,1787339675.818,G4MQ6,2.93,4644.4,17.02,4524.152,4572.0186,4597.7521,4615.791,4633.5109,4652.6613,4672.4697,4694.4152,4728.6702,4802.2102
2026-08-22T02:20:39.038015+07:00,1787340039.038,G4MQ6,2.92,4643.5,16.99,4525.4057,4573.1519,4598.7962,4616.7383,4634.3551,4653.394,4673.0638,4694.8202,4728.8498,4802.2488
2026-08-22T02:25:17.026920+07:00,1787340317.027,G4MQ6,2.92,4644.3,16.79,4524.184,4572.1084,4597.8551,4615.7184,4633.196,4652.1124,4671.6398,4693.2188,4727.3766,4802.4437
2026-08-22T02:31:25.032433+07:00,1787340685.032,G4MQ6,2.92,4643.9,17.06,4526.4773,4573.5196,4599.2128,4617.2587,4634.9192,4654.0068,4673.7437,4695.4885,4729.3318,4802.5604
2026-08-22T02:35:55.115822+07:00,1787340955.116,G4MQ6,2.91,4644.2,16.94,4527.4844,4573.7514,4599.2332,4617.1274,4634.6249,4653.5754,4673.1957,4694.82,4728.6936,4802.8079
