captured_at,captured_at_epoch,contract,dte,future,iv_pct,5DP,15DP,25DP,35DP,45DP,45DC,35DC,25DC,15DC,5DC
2026-08-28T01:00:23.855892+07:00,1787853623.856,OG4Q6,0.98,4627.6,29.88,4483.4914,4546.5557,4577.4823,4597.9652,4617.047,4636.3541,4655.1144,4674.9577,4704.4998,4763.7081
2026-08-28T01:05:04.410653+07:00,1787853904.411,OG4Q6,0.98,4626.0,29.95,4482.9671,4545.5343,4576.3941,4596.8986,4615.9924,4635.3034,4654.0667,4673.8804,4703.2943,4762.2312
2026-08-28T01:11:03.553651+07:00,1787854263.554,OG4Q6,0.97,4621.9,29.91,4480.247,4542.6024,4573.34,4593.7662,4612.7823,4632.003,4650.672,4670.3769,4699.5604,4757.8312
2026-08-28T01:17:19.933645+07:00,1787854639.934,OG4Q6,0.97,4622.8,29.98,4480.1751,4543.3099,4574.2798,4594.7815,4613.8316,4633.0575,4651.7133,4671.4224,4700.6451,4758.8726
2026-08-28T01:23:00.189093+07:00,1787854980.189,OG4Q6,0.96,4623.1,30.0,4481.2905,4544.723,4575.7556,4596.2824,4615.3428,4634.5446,4653.1419,4672.7651,4701.8064,4759.458
2026-08-28T01:29:25.972793+07:00,1787855365.973,OG4Q6,0.96,4624.1,30.24,4477.7712,4541.909,4573.2673,4593.9825,4613.1634,4632.4334,4651.0667,4670.7201,4699.7588,4757.1773
2026-08-28T01:34:14.421515+07:00,1787855654.422,OG4Q6,0.95,4621.7,30.28,4475.6102,4540.1944,4571.5667,4592.2543,4611.4525,4630.7497,4649.3801,4669.0051,4698.0225,4755.4042
2026-08-28T01:38:50.989491+07:00,1787855930.989,OG4Q6,0.95,4620.0,30.23,4474.7988,4539.6683,4571.0865,4591.7412,4610.8828,4630.1135,4648.6776,4668.2539,4697.2507,4754.6022
2026-08-28T01:43:31.661182+07:00,1787856211.661,OG4Q6,0.95,4619.6,30.22,4477.2009,4541.3347,4572.476,4593.046,4612.1524,4631.3335,4649.7997,4669.1705,4697.7081,4754.0467
2026-08-28T01:48:46.311985+07:00,1787856526.312,OG4Q6,0.94,4622.4,30.06,4477.1986,4541.9668,4573.1795,4593.7005,4612.7179,4631.7594,4650.0609,4669.2888,4697.6159,4753.15
2026-08-28T01:54:03.619163+07:00,1787856843.619,OG4Q6,0.94,4621.8,30.0,4480.9847,4544.6421,4575.4201,4595.8119,4614.7629,4633.7299,4651.9987,4671.2587,4699.4351,4753.7792
2026-08-28T01:59:12.911246+07:00,1787857152.911,OG4Q6,0.94,4623.9,29.98,4484.8308,4547.4336,4577.9532,4598.308,4617.2064,4636.0755,4654.2407,4673.3555,4701.0817,4754.02
